"dep","dur","mem","wday","temp","prec","rushhour"
2021-05-17 09:35:41,625,0,"Monday",17.9,0.2,1
2021-05-24 08:18:55,2608,0,"Monday",14.4,0,1
2021-05-03 09:12:02,1667,0,"Monday",7.6,0,1
2021-05-24 09:23:39,374,0,"Monday",14.4,0,1
2021-05-31 07:27:18,904,0,"Monday",15.7,0,1
2021-05-17 19:01:33,800,0,"Monday",17.9,0.2,3
2021-05-17 19:17:30,1795,0,"Monday",17.9,0.2,3
2021-05-17 21:40:13,1182,0,"Monday",17.9,0.2,3
2021-05-03 14:20:42,2574,0,"Monday",7.6,0,3
2021-05-17 19:54:27,147,0,"Monday",17.9,0.2,3
2021-05-17 17:49:29,643,0,"Monday",17.9,0.2,2
2021-05-24 18:02:26,935,0,"Monday",14.4,0,2
2021-05-10 17:15:53,3946,0,"Monday",11.4,0,2
2021-05-17 16:51:55,733,0,"Monday",17.9,0.2,2
2021-05-24 17:38:17,3058,0,"Monday",14.4,0,2
2021-06-21 08:18:37,1161,0,"Monday",24.1,2.9,1
2021-06-07 09:53:21,552,0,"Monday",27.6,0,1
2021-06-14 08:49:40,321,0,"Monday",20.6,7.8,1
2021-06-14 09:19:42,990,0,"Monday",20.6,7.8,1
2021-06-07 07:53:24,545,0,"Monday",27.6,0,1
2021-06-07 23:04:49,497,0,"Monday",27.6,0,3
2021-06-07 10:57:31,2279,0,"Monday",27.6,0,3
2021-06-21 19:30:45,714,0,"Monday",24.1,2.9,3
2021-06-14 22:41:16,1218,0,"Monday",20.6,7.8,3
2021-06-14 21:48:34,3843,0,"Monday",20.6,7.8,3
2021-06-07 15:40:42,1221,0,"Monday",27.6,0,2
2021-06-07 17:23:09,631,0,"Monday",27.6,0,2
2021-06-14 15:21:03,818,0,"Monday",20.6,7.8,2
2021-06-28 17:05:12,771,0,"Monday",27,2.3,2
2021-06-07 18:09:59,828,0,"Monday",27.6,0,2
2021-07-05 07:24:39,715,0,"Monday",20.2,0,1
2021-07-12 09:04:29,626,0,"Monday",23.1,0,1
2021-07-26 09:55:39,1652,0,"Monday",23.5,0,1
2021-07-05 06:49:50,581,0,"Monday",20.2,0,1
2021-07-26 09:04:38,267,0,"Monday",23.5,0,1
2021-07-12 14:07:32,785,0,"Monday",23.1,0,3
2021-07-05 20:51:57,540,0,"Monday",20.2,0,3
2021-07-12 10:33:08,1127,0,"Monday",23.1,0,3
2021-07-05 14:13:59,2644,0,"Monday",20.2,0,3
2021-07-05 22:51:09,190,0,"Monday",20.2,0,3
2021-07-12 15:17:21,777,0,"Monday",23.1,0,2
2021-07-19 17:18:02,1414,0,"Monday",23.3,0,2
2021-07-19 17:14:54,887,0,"Monday",23.3,0,2
2021-07-05 18:02:04,525,0,"Monday",20.2,0,2
2021-07-26 18:36:19,733,0,"Monday",23.5,0,2
2021-08-09 09:01:01,748,0,"Monday",25.2,0.2,1
2021-08-23 09:15:42,1015,0,"Monday",26.7,0,1
2021-08-09 09:19:50,590,0,"Monday",25.2,0.2,1
2021-08-09 09:46:11,917,0,"Monday",25.2,0.2,1
2021-08-02 09:16:24,213,0,"Monday",18.8,0,1
2021-08-23 00:13:03,1303,0,"Monday",26.7,0,3
2021-08-02 13:15:43,489,0,"Monday",18.8,0,3
2021-08-02 12:45:52,931,0,"Monday",18.8,0,3
2021-08-23 00:57:34,1547,0,"Monday",26.7,0,3
2021-08-30 20:08:57,567,0,"Monday",24.8,5.3,3
2021-08-09 17:54:06,560,0,"Monday",25.2,0.2,2
2021-08-23 17:34:33,1168,0,"Monday",26.7,0,2
2021-08-16 15:44:32,667,0,"Monday",19.5,0,2
2021-08-16 18:23:00,1223,0,"Monday",19.5,0,2
2021-08-02 18:55:43,1028,0,"Monday",18.8,0,2
2021-09-27 06:33:40,1183,0,"Monday",13.6,3.1,1
2021-09-13 07:01:14,558,0,"Monday",17.3,0.2,1
2021-09-27 09:14:58,664,0,"Monday",13.6,3.1,1
2021-09-13 09:08:06,929,0,"Monday",17.3,0.2,1
2021-09-06 09:11:28,1062,0,"Monday",17.4,6.3,1
2021-09-20 12:46:57,606,0,"Monday",17.3,0,3
2021-09-06 21:10:05,1967,0,"Monday",17.4,6.3,3
2021-09-06 20:40:36,1335,0,"Monday",17.4,6.3,3
2021-09-06 19:33:48,234,0,"Monday",17.4,6.3,3
2021-09-06 10:31:39,1042,0,"Monday",17.4,6.3,3
2021-09-20 17:26:51,431,0,"Monday",17.3,0,2
2021-09-13 17:44:35,1436,0,"Monday",17.3,0.2,2
2021-09-20 17:45:22,804,0,"Monday",17.3,0,2
2021-09-20 15:35:05,1115,0,"Monday",17.3,0,2
2021-09-13 15:30:57,3058,0,"Monday",17.3,0.2,2
2021-10-04 08:30:53,478,0,"Monday",12.2,0,1
2021-10-04 08:42:41,397,0,"Monday",12.2,0,1
2021-10-18 08:47:54,567,0,"Monday",9.7,0.7,1
2021-10-25 08:38:58,188,0,"Monday",6.5,0.5,1
2021-10-18 08:53:48,159,0,"Monday",9.7,0.7,1
2021-10-11 19:42:33,532,0,"Monday",18.4,0,3
2021-10-11 00:17:52,930,0,"Monday",18.4,0,3
2021-10-18 00:07:23,386,0,"Monday",9.7,0.7,3
2021-10-18 20:05:50,735,0,"Monday",9.7,0.7,3
2021-10-11 04:37:54,552,0,"Monday",18.4,0,3
2021-10-04 18:07:25,1127,0,"Monday",12.2,0,2
2021-10-18 16:24:47,962,0,"Monday",9.7,0.7,2
2021-10-25 16:04:05,1212,0,"Monday",6.5,0.5,2
2021-10-25 17:41:04,209,0,"Monday",6.5,0.5,2
2021-10-18 15:07:45,889,0,"Monday",9.7,0.7,2
2021-05-29 08:47:43,1898,0,"Saturday",11.4,0,1
2021-05-29 09:35:05,1114,0,"Saturday",11.4,0,1
2021-05-01 08:19:59,659,0,"Saturday",5.9,0,1
2021-05-15 07:10:11,749,0,"Saturday",17.7,0.2,1
2021-05-22 08:52:53,420,0,"Saturday",23.6,0.3,1
2021-05-22 13:56:25,915,0,"Saturday",23.6,0.3,3
2021-05-15 19:41:53,3471,0,"Saturday",17.7,0.2,3
2021-05-15 12:01:41,1698,0,"Saturday",17.7,0.2,3
2021-05-29 14:33:31,411,0,"Saturday",11.4,0,3
2021-05-29 01:34:25,1541,0,"Saturday",11.4,0,3
2021-05-29 16:30:33,1765,0,"Saturday",11.4,0,2
2021-05-15 17:17:24,514,0,"Saturday",17.7,0.2,2
2021-05-01 17:11:37,2602,0,"Saturday",5.9,0,2
2021-05-01 16:49:30,1344,0,"Saturday",5.9,0,2
2021-05-22 15:50:55,605,0,"Saturday",23.6,0.3,2
2021-06-05 07:24:13,257,0,"Saturday",22.4,14.2,1
2021-06-12 09:25:56,1035,0,"Saturday",19.3,0,1
2021-06-12 06:07:41,484,0,"Saturday",19.3,0,1
2021-06-12 09:46:51,567,0,"Saturday",19.3,0,1
2021-06-19 07:49:45,751,0,"Saturday",20.7,1.9,1
2021-06-26 02:30:48,805,0,"Saturday",21.4,20.8,3
2021-06-26 11:23:41,1486,0,"Saturday",21.4,20.8,3
2021-06-12 22:31:05,1042,0,"Saturday",19.3,0,3
2021-06-19 19:20:32,579,0,"Saturday",20.7,1.9,3
2021-06-12 23:04:35,1422,0,"Saturday",19.3,0,3
2021-06-19 18:16:56,744,0,"Saturday",20.7,1.9,2
2021-06-19 15:22:16,1788,0,"Saturday",20.7,1.9,2
2021-06-12 16:30:46,1643,0,"Saturday",19.3,0,2
2021-06-05 16:53:09,457,0,"Saturday",22.4,14.2,2
2021-06-26 18:50:35,919,0,"Saturday",21.4,20.8,2
2021-07-31 09:43:08,1102,0,"Saturday",17.9,0,1
2021-07-17 09:07:07,3479,0,"Saturday",21.7,0,1
2021-07-10 06:52:00,1776,0,"Saturday",19,0,1
2021-07-17 09:35:15,801,0,"Saturday",21.7,0,1
2021-07-10 09:32:51,882,0,"Saturday",19,0,1
2021-07-03 01:45:01,298,0,"Saturday",16.5,0,3
2021-07-03 12:46:21,6807,0,"Saturday",16.5,0,3
2021-07-31 19:57:48,2150,0,"Saturday",17.9,0,3
2021-07-10 01:09:48,2613,0,"Saturday",19,0,3
2021-07-24 22:34:11,715,0,"Saturday",21.9,0.6,3
2021-07-31 15:18:36,1919,0,"Saturday",17.9,0,2
2021-07-31 18:30:09,205,0,"Saturday",17.9,0,2
2021-07-10 15:47:27,623,0,"Saturday",19,0,2
2021-07-17 17:21:26,930,0,"Saturday",21.7,0,2
2021-07-17 17:19:03,1191,0,"Saturday",21.7,0,2
2021-08-21 09:59:59,1396,0,"Saturday",27.5,0,1
2021-08-21 08:45:06,781,0,"Saturday",27.5,0,1
2021-08-28 08:41:56,963,0,"Saturday",18.9,0,1
2021-08-21 09:19:28,492,0,"Saturday",27.5,0,1
2021-08-07 08:52:39,650,0,"Saturday",23.6,0.8,1
2021-08-28 23:26:58,1911,0,"Saturday",18.9,0,3
2021-08-14 14:56:24,890,0,"Saturday",20.9,0.2,3
2021-08-14 20:35:19,2319,0,"Saturday",20.9,0.2,3
2021-08-14 19:53:43,404,0,"Saturday",20.9,0.2,3
2021-08-28 20:26:15,888,0,"Saturday",18.9,0,3
2021-08-21 15:26:31,1902,0,"Saturday",27.5,0,2
2021-08-07 17:46:07,1245,0,"Saturday",23.6,0.8,2
2021-08-21 15:37:34,779,0,"Saturday",27.5,0,2
2021-08-21 17:17:29,241,0,"Saturday",27.5,0,2
