"dep","dur","mem","wday","temp","prec","rushhour"
2021-05-28 09:27:53,1469,0,"Friday",7.8,0,1
2021-05-21 09:06:06,3255,0,"Friday",25.3,0,1
2021-05-07 07:35:56,161,0,"Friday",9.7,0,1
2021-05-07 08:30:39,967,0,"Friday",9.7,0,1
2021-05-14 08:53:22,587,0,"Friday",17.8,0,1
2021-05-28 14:22:43,561,0,"Friday",7.8,0,3
2021-05-28 20:52:15,1616,0,"Friday",7.8,0,3
2021-05-14 10:35:33,1947,0,"Friday",17.8,0,3
2021-05-14 14:14:05,2628,0,"Friday",17.8,0,3
2021-05-14 20:51:17,1996,0,"Friday",17.8,0,3
2021-05-21 15:07:07,1228,0,"Friday",25.3,0,2
2021-05-28 17:22:05,1999,0,"Friday",7.8,0,2
2021-05-07 18:18:33,993,0,"Friday",9.7,0,2
2021-05-28 18:58:54,2911,0,"Friday",7.8,0,2
2021-05-21 17:19:12,3560,0,"Friday",25.3,0,2
2021-06-18 07:35:15,900,0,"Friday",21.2,4.8,1
2021-06-11 07:59:39,1076,0,"Friday",19.7,0.2,1
2021-06-25 09:44:53,129,0,"Friday",22.2,0,1
2021-06-18 09:07:18,616,0,"Friday",21.2,4.8,1
2021-06-04 09:15:30,378,0,"Friday",22,0,1
2021-06-11 21:13:19,1628,0,"Friday",19.7,0.2,3
2021-06-25 20:44:05,2260,0,"Friday",22.2,0,3
2021-06-18 23:33:37,176,0,"Friday",21.2,4.8,3
2021-06-25 03:22:26,707,0,"Friday",22.2,0,3
2021-06-11 21:37:54,830,0,"Friday",19.7,0.2,3
2021-06-25 18:57:38,744,0,"Friday",22.2,0,2
2021-06-04 17:52:49,174,0,"Friday",22,0,2
2021-06-04 18:57:18,836,0,"Friday",22,0,2
2021-06-11 18:46:54,894,0,"Friday",19.7,0.2,2
2021-06-25 15:14:05,719,0,"Friday",22.2,0,2
2021-07-23 06:47:45,244,0,"Friday",21,0,1
2021-07-09 08:30:36,319,0,"Friday",18.1,0,1
2021-07-16 06:02:29,656,0,"Friday",22,0,1
2021-07-23 08:11:22,1756,0,"Friday",21,0,1
2021-07-30 09:15:05,89,0,"Friday",16.5,0,1
2021-07-16 23:01:15,1011,0,"Friday",22,0,3
2021-07-02 23:38:32,892,0,"Friday",17.6,0,3
2021-07-23 11:20:29,532,0,"Friday",21,0,3
2021-07-02 19:38:00,571,0,"Friday",17.6,0,3
2021-07-09 01:06:50,883,0,"Friday",18.1,0,3
2021-07-09 15:34:39,1395,0,"Friday",18.1,0,2
2021-07-30 18:23:25,1273,0,"Friday",16.5,0,2
2021-07-09 17:09:10,806,0,"Friday",18.1,0,2
2021-07-30 16:54:51,3158,0,"Friday",16.5,0,2
2021-07-16 18:07:09,89,0,"Friday",22,0,2
2021-08-13 08:57:08,2566,0,"Friday",27,0.2,1
2021-08-27 08:40:15,990,0,"Friday",21.2,0,1
2021-08-27 07:40:27,438,0,"Friday",21.2,0,1
2021-08-20 09:46:57,1628,0,"Friday",25.9,0,1
2021-08-27 08:07:26,843,0,"Friday",21.2,0,1
2021-08-06 04:01:43,764,0,"Friday",25.1,0.2,3
2021-08-20 20:22:05,1041,0,"Friday",25.9,0,3
2021-08-27 22:46:03,1334,0,"Friday",21.2,0,3
2021-08-27 19:51:27,1082,0,"Friday",21.2,0,3
2021-08-13 14:36:33,4338,0,"Friday",27,0.2,3
2021-08-06 18:52:27,1068,0,"Friday",25.1,0.2,2
2021-08-27 18:21:35,1870,0,"Friday",21.2,0,2
2021-08-13 17:44:27,973,0,"Friday",27,0.2,2
2021-08-20 17:06:14,832,0,"Friday",25.9,0,2
2021-08-13 15:54:37,578,0,"Friday",27,0.2,2
2021-09-03 09:10:35,481,0,"Friday",18,0,1
2021-09-24 09:59:54,1096,0,"Friday",18.3,26.5,1
2021-09-10 09:40:34,1109,0,"Friday",17.1,0.3,1
2021-09-03 08:14:29,1140,0,"Friday",18,0,1
2021-09-17 07:13:39,1198,0,"Friday",19.8,0,1
2021-09-10 19:06:38,936,0,"Friday",17.1,0.3,3
2021-09-03 21:52:26,90,0,"Friday",18,0,3
2021-09-17 00:22:04,1277,0,"Friday",19.8,0,3
2021-09-03 20:12:17,1053,0,"Friday",18,0,3
2021-09-03 00:57:50,1461,0,"Friday",18,0,3
2021-09-24 16:59:04,528,0,"Friday",18.3,26.5,2
2021-09-17 18:53:49,196,0,"Friday",19.8,0,2
2021-09-24 18:29:51,707,0,"Friday",18.3,26.5,2
2021-09-24 18:21:56,628,0,"Friday",18.3,26.5,2
2021-09-10 15:21:02,2402,0,"Friday",17.1,0.3,2
2021-10-08 08:24:03,355,0,"Friday",15.4,0,1
2021-10-01 07:21:29,257,0,"Friday",12.5,0,1
2021-10-08 08:06:12,210,0,"Friday",15.4,0,1
2021-10-01 06:40:33,690,0,"Friday",12.5,0,1
2021-10-01 08:51:15,620,0,"Friday",12.5,0,1
2021-10-01 19:13:22,2355,0,"Friday",12.5,0,3
2021-10-15 19:24:48,1026,0,"Friday",18.4,0,3
2021-10-15 13:01:18,131,0,"Friday",18.4,0,3
2021-10-08 14:28:14,425,0,"Friday",15.4,0,3
2021-10-01 20:13:01,259,0,"Friday",12.5,0,3
2021-10-22 16:54:05,525,0,"Friday",8.7,13.8,2
2021-10-29 15:43:10,695,0,"Friday",7.8,0,2
2021-10-29 16:42:36,2106,0,"Friday",7.8,0,2
2021-10-01 18:38:39,397,0,"Friday",12.5,0,2
2021-10-01 16:42:36,132,0,"Friday",12.5,0,2
2021-05-10 07:01:05,381,0,"Monday",11.4,0,1
2021-05-10 08:26:25,533,0,"Monday",11.4,0,1
2021-05-24 09:17:44,2232,0,"Monday",14.4,0,1
2021-05-31 09:02:27,1517,0,"Monday",15.7,0,1
2021-05-17 07:29:32,1200,0,"Monday",17.9,0.2,1
2021-05-17 11:26:57,1471,0,"Monday",17.9,0.2,3
2021-05-24 14:14:24,2684,0,"Monday",14.4,0,3
2021-05-17 21:39:38,407,0,"Monday",17.9,0.2,3
2021-05-17 12:43:56,567,0,"Monday",17.9,0.2,3
2021-05-24 12:51:48,183,0,"Monday",14.4,0,3
2021-05-24 18:57:06,1375,0,"Monday",14.4,0,2
2021-05-31 17:13:11,347,0,"Monday",15.7,0,2
2021-05-10 17:53:29,1413,0,"Monday",11.4,0,2
2021-05-17 17:33:31,1117,0,"Monday",17.9,0.2,2
2021-05-24 18:23:31,893,0,"Monday",14.4,0,2
2021-06-14 08:30:32,448,0,"Monday",20.6,7.8,1
2021-06-07 06:34:58,406,0,"Monday",27.6,0,1
2021-06-07 08:14:28,128,0,"Monday",27.6,0,1
2021-06-07 07:47:03,2389,0,"Monday",27.6,0,1
2021-06-28 08:34:49,723,0,"Monday",27,2.3,1
2021-06-28 12:47:27,564,0,"Monday",27,2.3,3
2021-06-28 20:26:52,3002,0,"Monday",27,2.3,3
2021-06-28 22:01:12,496,0,"Monday",27,2.3,3
2021-06-28 13:00:24,1572,0,"Monday",27,2.3,3
2021-06-07 00:07:56,1086,0,"Monday",27.6,0,3
2021-06-21 16:42:17,1108,0,"Monday",24.1,2.9,2
2021-06-28 16:04:09,911,0,"Monday",27,2.3,2
2021-06-14 16:09:10,4773,0,"Monday",20.6,7.8,2
2021-06-28 18:03:53,830,0,"Monday",27,2.3,2
2021-06-14 18:22:59,435,0,"Monday",20.6,7.8,2
2021-07-12 09:20:31,247,0,"Monday",23.1,0,1
2021-07-26 09:28:42,2052,0,"Monday",23.5,0,1
2021-07-12 09:31:37,748,0,"Monday",23.1,0,1
2021-07-19 07:13:37,912,0,"Monday",23.3,0,1
2021-07-05 08:53:12,475,0,"Monday",20.2,0,1
2021-07-05 12:48:52,542,0,"Monday",20.2,0,3
2021-07-26 11:16:15,393,0,"Monday",23.5,0,3
2021-07-05 20:05:06,343,0,"Monday",20.2,0,3
2021-07-05 01:19:47,4063,0,"Monday",20.2,0,3
2021-07-12 13:04:22,2351,0,"Monday",23.1,0,3
2021-07-19 15:36:08,988,0,"Monday",23.3,0,2
2021-07-05 16:00:01,817,0,"Monday",20.2,0,2
2021-07-12 18:54:13,919,0,"Monday",23.1,0,2
2021-07-26 18:41:54,2292,0,"Monday",23.5,0,2
2021-07-26 17:48:03,575,0,"Monday",23.5,0,2
2021-08-09 09:55:54,1258,0,"Monday",25.2,0.2,1
2021-08-09 08:10:22,748,0,"Monday",25.2,0.2,1
2021-08-02 09:43:38,988,0,"Monday",18.8,0,1
2021-08-16 09:57:30,338,0,"Monday",19.5,0,1
2021-08-23 07:23:30,1262,0,"Monday",26.7,0,1
2021-08-02 14:28:48,1061,0,"Monday",18.8,0,3
2021-08-16 23:33:19,4564,0,"Monday",19.5,0,3
2021-08-09 19:34:55,339,0,"Monday",25.2,0.2,3
2021-08-23 21:24:03,276,0,"Monday",26.7,0,3
2021-08-23 14:47:51,549,0,"Monday",26.7,0,3
2021-08-09 16:44:49,1561,0,"Monday",25.2,0.2,2
2021-08-09 17:53:41,776,0,"Monday",25.2,0.2,2
2021-08-23 18:09:02,136,0,"Monday",26.7,0,2
2021-08-16 16:54:56,773,0,"Monday",19.5,0,2
2021-08-23 18:59:43,604,0,"Monday",26.7,0,2
2021-09-20 08:50:32,2359,0,"Monday",17.3,0,1
2021-09-13 07:03:41,1463,0,"Monday",17.3,0.2,1
2021-09-13 08:11:18,607,0,"Monday",17.3,0.2,1
2021-09-06 09:49:49,453,0,"Monday",17.4,6.3,1
2021-09-20 08:31:31,2033,0,"Monday",17.3,0,1
2021-09-27 21:49:30,751,0,"Monday",13.6,3.1,3
2021-09-20 23:13:56,842,0,"Monday",17.3,0,3
2021-09-27 23:23:20,1716,0,"Monday",13.6,3.1,3
2021-09-13 22:42:21,659,0,"Monday",17.3,0.2,3
2021-09-20 22:49:13,396,0,"Monday",17.3,0,3
2021-09-13 17:20:26,1264,0,"Monday",17.3,0.2,2
2021-09-13 18:46:39,442,0,"Monday",17.3,0.2,2
2021-09-20 16:49:31,826,0,"Monday",17.3,0,2
2021-09-20 18:47:22,814,0,"Monday",17.3,0,2
2021-09-20 18:52:55,1578,0,"Monday",17.3,0,2
2021-10-04 09:50:02,1563,0,"Monday",12.2,0,1
2021-10-25 07:29:54,808,0,"Monday",6.5,0.5,1
2021-10-04 08:01:09,767,0,"Monday",12.2,0,1
2021-10-18 09:48:00,1238,0,"Monday",9.7,0.7,1
2021-10-25 08:53:34,997,0,"Monday",6.5,0.5,1
2021-10-11 14:29:33,5558,0,"Monday",18.4,0,3
2021-10-04 14:00:21,965,0,"Monday",12.2,0,3
2021-10-11 00:54:35,767,0,"Monday",18.4,0,3
2021-10-04 19:32:46,621,0,"Monday",12.2,0,3
2021-10-25 21:22:45,427,0,"Monday",6.5,0.5,3
2021-10-04 16:45:53,383,0,"Monday",12.2,0,2
2021-10-18 18:43:57,363,0,"Monday",9.7,0.7,2
2021-10-04 17:26:44,1876,0,"Monday",12.2,0,2
2021-10-25 17:28:59,348,0,"Monday",6.5,0.5,2
2021-10-11 16:36:22,1549,0,"Monday",18.4,0,2
2021-05-22 09:49:52,736,0,"Saturday",23.6,0.3,1
2021-05-29 07:08:41,948,0,"Saturday",11.4,0,1
2021-05-29 09:48:26,326,0,"Saturday",11.4,0,1
