"dep","dur","mem","wday","temp","prec","rushhour"
2021-05-21 07:46:06,703,0,"Friday",25.3,0,1
2021-05-07 08:27:51,1284,0,"Friday",9.7,0,1
2021-05-28 09:22:49,1486,0,"Friday",7.8,0,1
2021-05-21 08:25:00,846,0,"Friday",25.3,0,1
2021-05-14 07:44:10,1169,0,"Friday",17.8,0,1
2021-05-28 14:40:01,623,0,"Friday",7.8,0,3
2021-05-28 19:05:16,587,0,"Friday",7.8,0,3
2021-05-14 12:21:03,1133,0,"Friday",17.8,0,3
2021-05-14 12:55:33,505,0,"Friday",17.8,0,3
2021-05-14 12:54:34,2579,0,"Friday",17.8,0,3
2021-05-07 18:12:31,1067,0,"Friday",9.7,0,2
2021-05-14 18:30:12,2714,0,"Friday",17.8,0,2
2021-05-07 18:56:39,486,0,"Friday",9.7,0,2
2021-05-21 15:25:18,415,0,"Friday",25.3,0,2
2021-05-21 16:35:42,769,0,"Friday",25.3,0,2
2021-06-18 08:45:46,901,0,"Friday",21.2,4.8,1
2021-06-25 08:33:04,1035,0,"Friday",22.2,0,1
2021-06-11 08:34:09,1094,0,"Friday",19.7,0.2,1
2021-06-04 09:02:25,1064,0,"Friday",22,0,1
2021-06-04 08:39:43,566,0,"Friday",22,0,1
2021-06-25 03:39:40,640,0,"Friday",22.2,0,3
2021-06-25 00:49:41,940,0,"Friday",22.2,0,3
2021-06-04 21:57:42,1523,0,"Friday",22,0,3
2021-06-11 20:05:38,2344,0,"Friday",19.7,0.2,3
2021-06-04 13:08:43,320,0,"Friday",22,0,3
2021-06-18 17:57:14,587,0,"Friday",21.2,4.8,2
2021-06-25 16:11:18,269,0,"Friday",22.2,0,2
2021-06-25 18:15:43,811,0,"Friday",22.2,0,2
2021-06-04 15:31:51,547,0,"Friday",22,0,2
2021-06-11 15:29:43,983,0,"Friday",19.7,0.2,2
2021-07-02 08:57:53,702,0,"Friday",17.6,0,1
2021-07-16 08:48:13,860,0,"Friday",22,0,1
2021-07-02 07:47:08,808,0,"Friday",17.6,0,1
2021-07-02 08:55:34,628,0,"Friday",17.6,0,1
2021-07-16 09:23:30,298,0,"Friday",22,0,1
2021-07-09 01:21:35,1120,0,"Friday",18.1,0,3
2021-07-30 14:19:30,1223,0,"Friday",16.5,0,3
2021-07-23 21:32:08,620,0,"Friday",21,0,3
2021-07-02 01:53:49,814,0,"Friday",17.6,0,3
2021-07-30 21:22:01,323,0,"Friday",16.5,0,3
