"dep","dur","mem","wday","temp","prec","rushhour"
2021-05-28 09:40:55,725,0,"Friday",7.8,0,1
2021-05-21 09:20:02,1105,0,"Friday",25.3,0,1
2021-05-14 09:42:31,559,0,"Friday",17.8,0,1
2021-05-21 06:11:15,1699,0,"Friday",25.3,0,1
2021-05-28 07:35:15,1602,0,"Friday",7.8,0,1
2021-05-21 12:44:05,256,0,"Friday",25.3,0,3
2021-05-14 12:04:36,362,0,"Friday",17.8,0,3
2021-05-07 20:25:21,1457,0,"Friday",9.7,0,3
2021-05-28 13:39:59,1871,0,"Friday",7.8,0,3
2021-05-07 20:45:16,897,0,"Friday",9.7,0,3
2021-05-07 16:39:28,784,0,"Friday",9.7,0,2
2021-05-28 18:43:36,759,0,"Friday",7.8,0,2
2021-05-21 18:12:27,746,0,"Friday",25.3,0,2
2021-05-28 18:10:27,516,0,"Friday",7.8,0,2
2021-05-28 17:38:16,500,0,"Friday",7.8,0,2
2021-06-04 08:31:44,752,0,"Friday",22,0,1
2021-06-25 08:26:37,1443,0,"Friday",22.2,0,1
2021-06-11 08:27:28,1083,0,"Friday",19.7,0.2,1
2021-06-25 08:30:45,741,0,"Friday",22.2,0,1
2021-06-11 08:23:33,604,0,"Friday",19.7,0.2,1
2021-06-11 14:19:23,806,0,"Friday",19.7,0.2,3
2021-06-11 01:50:53,746,0,"Friday",19.7,0.2,3
2021-06-25 20:07:58,356,0,"Friday",22.2,0,3
2021-06-25 11:31:00,455,0,"Friday",22.2,0,3
2021-06-25 22:47:57,796,0,"Friday",22.2,0,3
2021-06-04 18:19:31,1691,0,"Friday",22,0,2
2021-06-04 17:28:14,1160,0,"Friday",22,0,2
2021-06-25 18:00:11,989,0,"Friday",22.2,0,2
2021-06-25 15:58:40,1070,0,"Friday",22.2,0,2
2021-06-25 18:28:21,336,0,"Friday",22.2,0,2
2021-07-23 09:43:29,1063,0,"Friday",21,0,1
2021-07-02 09:51:31,639,0,"Friday",17.6,0,1
2021-07-30 08:16:39,565,0,"Friday",16.5,0,1
2021-07-02 09:44:15,1423,0,"Friday",17.6,0,1
2021-07-30 08:39:10,216,0,"Friday",16.5,0,1
2021-07-09 21:08:31,751,0,"Friday",18.1,0,3
2021-07-02 12:09:29,701,0,"Friday",17.6,0,3
2021-07-02 20:53:40,920,0,"Friday",17.6,0,3
2021-07-16 20:53:10,456,0,"Friday",22,0,3
2021-07-02 11:34:35,3916,0,"Friday",17.6,0,3
2021-07-30 17:54:07,1334,0,"Friday",16.5,0,2
2021-07-02 16:12:03,836,0,"Friday",17.6,0,2
2021-07-02 17:22:23,368,0,"Friday",17.6,0,2
2021-07-09 18:54:54,1023,0,"Friday",18.1,0,2
2021-07-02 15:26:44,800,0,"Friday",17.6,0,2
2021-08-20 09:32:32,694,0,"Friday",25.9,0,1
2021-08-20 08:58:42,952,0,"Friday",25.9,0,1
2021-08-27 09:20:18,422,0,"Friday",21.2,0,1
2021-08-06 08:31:50,1164,0,"Friday",25.1,0.2,1
2021-08-13 08:46:23,920,0,"Friday",27,0.2,1
2021-08-13 11:26:36,418,0,"Friday",27,0.2,3
2021-08-06 00:25:47,604,0,"Friday",25.1,0.2,3
2021-08-27 20:27:38,5104,0,"Friday",21.2,0,3
2021-08-06 10:35:56,143,0,"Friday",25.1,0.2,3
2021-08-27 20:52:04,1150,0,"Friday",21.2,0,3
2021-08-06 17:17:44,1784,0,"Friday",25.1,0.2,2
2021-08-20 18:32:16,1101,0,"Friday",25.9,0,2
2021-08-27 17:08:50,700,0,"Friday",21.2,0,2
2021-08-27 16:57:57,4207,0,"Friday",21.2,0,2
2021-08-06 17:53:48,1962,0,"Friday",25.1,0.2,2
2021-09-03 09:23:11,476,0,"Friday",18,0,1
2021-09-10 09:48:15,455,0,"Friday",17.1,0.3,1
2021-09-03 07:27:30,906,0,"Friday",18,0,1
2021-09-03 08:12:44,307,0,"Friday",18,0,1
2021-09-10 09:42:40,705,0,"Friday",17.1,0.3,1
2021-09-03 20:19:37,1268,0,"Friday",18,0,3
2021-09-24 14:04:06,685,0,"Friday",18.3,26.5,3
2021-09-03 19:20:41,902,0,"Friday",18,0,3
2021-09-24 20:09:11,692,0,"Friday",18.3,26.5,3
2021-09-10 12:06:41,442,0,"Friday",17.1,0.3,3
2021-09-17 17:41:28,665,0,"Friday",19.8,0,2
2021-09-17 17:59:20,664,0,"Friday",19.8,0,2
2021-09-17 17:04:01,950,0,"Friday",19.8,0,2
2021-09-10 16:37:23,1084,0,"Friday",17.1,0.3,2
2021-09-10 18:08:09,427,0,"Friday",17.1,0.3,2
2021-10-01 06:40:25,228,0,"Friday",12.5,0,1
2021-10-01 09:46:13,486,0,"Friday",12.5,0,1
2021-10-15 07:48:18,1009,0,"Friday",18.4,0,1
